folder,id,form,original_form,speaker_id,start,end,note
SDRW2000000002,SDRW2000000002.1.1.223,어~ 뉴스에도 났었는데,어~ 뉴스에도 났었는데,SD2000003,442.42404,444.91903,
SDRW2000000009,SDRW2000000009.1.1.83,막 뉴스에 나오던데.,막 뉴스에 나오던데.,SD2000016,140.93808,143.97004,
SDRW2000000011,SDRW2000000011.1.1.24,항상 가도 좋은 곳은 사실 뉴욕인 거 같고요.,항상 가도 좋은 곳은 사실 뉴욕인 거 같고요.,SD2000020,58.41401,61.88906,
SDRW2000000017,SDRW2000000017.1.1.93,뭐 제가 뉴스로 보기에는,뭐 제가 뉴스로 보기에는,SD2000030,128.11902,130.11704,
SDRW2000000019,SDRW2000000019.1.1.442,너무 뉴스에 많이 나오기 때문에,너무 뉴스에 많이 나오기 때문에,SD2000033,656.04408,657.70001,
SDRW2000000025,SDRW2000000025.1.1.375,그런데 가끔씩 뉴스에서,그런데 가끔씩 뉴스에서,SD2000040,750.91404,753.38308,
SDRW2000000027,SDRW2000000027.1.1.378,그래서 뉴욕이나,그래서 뉴욕이나,SD2000042,790.50306,791.93904,
SDRW2000000030,SDRW2000000030.1.1.239,뭐 해피 뉴 이어 이렇게 해가지고,뭐 해피 뉴 이어 이렇게 해가지고,SD2000045,503.83905,505.95403,
SDRW2000000033,SDRW2000000033.1.1.23,뉴스에 뜨는 것들,뉴스에 뜨는 것들,SD2000050,47.87106,49.65808,
SDRW2000000033,SDRW2000000033.1.1.511,니까,니까,SD2000050,859.38901,860.05502,
SDRW2000000036,SDRW2000000036.1.1.155,많 뉴스나 인제 프로그램 같은 경우에 뭐,많 뉴스나 인제 프로그램 같은 경우에 뭐,SD2000055,542.45505,546.92501,
SDRW2000000038,SDRW2000000038.1.1.259,뉴스 같은 데서 보면,뉴스 같은 데서 보면,SD2000056,596.99805,599.33205,
SDRW2000000040,SDRW2000000040.1.1.23,호주나 뉴질랜드 쪽에서,호주나 뉴질랜드 쪽에서,SD2000060,38.57905,40.30705,
SDRW2000000046,SDRW2000000046.1.1.242,뉴스에서도 많이 나옷는데,뉴스에서도 많이 나옷는데,SD2000068,424.08508,425.98101,
SDRW2000000046,SDRW2000000046.1.1.434,뉴스 같은 거에서 이제 이웃이,뉴스 같은 거에서 이제 이웃이,SD2000068,800.51108,803.14802,
SDRW2000000051,SDRW2000000051.1.1.147,최근에 뉴스에서,최근에 뉴스에서,SD2000074,337.37508,340.16404,
SDRW2000000054,SDRW2000000054.1.1.4,약간 뉴스 같은 거 있잖아.,약간 뉴쓰 같은 거 있잖아.,SD2000077,11.14607,12.85207,
