0,1,2,3,4,5
469.0,482.0,743.0,SDRW2100004182.1.1.151.wav,A,cute!
,,,SDRW2100004182.1.1.151.wav,,model_not_consistant
,,,SDRW2100004182.1.1.159.wav,,model_not_consistant
522.0,684.0,773.0,SDRW2100004182.1.1.163.wav,N,cute!
,,,SDRW2100004182.1.1.198.wav,,full_sequence_rejected
,,,SDRW2100004182.1.1.200.wav,,unknown_error
,,,SDRW2100004182.1.1.208.wav,,model_not_consistant
,,,SDRW2100004182.1.1.252.wav,,full_sequence_rejected
,,,SDRW2100004182.1.1.285.wav,,full_sequence_rejected
0.0,279.0,281.0,SDRW2100004182.1.1.291.wav,,cute!
615.0,675.0,711.0,SDRW2100004182.1.1.3.wav,N,cute!
481.0,554.0,603.0,SDRW2100004182.1.1.320.wav,N,cute!
,,,SDRW2100004182.1.1.321.wav,,full_sequence_rejected
469.0,672.0,704.0,SDRW2100004182.1.1.323.wav,N,cute!
,,,SDRW2100004182.1.1.67.wav,,full_sequence_rejected
,,,SDRW2100004182.1.1.74.wav,,model_not_consistant
624.0,712.0,762.0,SDRW2100004182.1.1.79.wav,N,cute!
613.0,659.0,797.0,SDRW2100004182.1.1.82.wav,N,cute!
,,,SDRW2100004182.1.1.88.wav,,full_sequence_rejected
,,,SDRW2100004182.1.1.90.wav,,full_sequence_rejected
,,,SDRW2100004182.1.1.98.wav,,model_not_consistant
481.0,596.0,650.0,SDRW2100004186.1.1.111.wav,N,cute!
6.0,359.0,463.0,SDRW2100004186.1.1.12.wav,N,cute!
534.0,618.0,686.0,SDRW2100004186.1.1.2.wav,N,cute!
506.0,696.0,739.0,SDRW2100004186.1.1.211.wav,N,cute!
520.0,592.0,613.0,SDRW2100004186.1.1.212.wav,N,cute!
504.0,547.0,583.0,SDRW2100004186.1.1.231.wav,N,cute!
,,,SDRW2100004186.1.1.231.wav,,model_not_consistant
585.0,672.0,739.0,SDRW2100004186.1.1.239.wav,N,cute!
,,,SDRW2100004186.1.1.247.wav,,full_sequence_rejected
688.0,748.0,748.0,SDRW2100004186.1.1.250.wav,,cute!
547.0,618.0,675.0,SDRW2100004186.1.1.251.wav,N,cute!
593.0,690.0,766.0,SDRW2100004186.1.1.253.wav,N,cute!
467.0,557.0,615.0,SDRW2100004186.1.1.270.wav,N,cute!
,,,SDRW2100004186.1.1.6.wav,,model_not_consistant
577.0,682.0,773.0,SDRW2100004190.1.1.121.wav,N,cute!
568.0,643.0,657.0,SDRW2100004190.1.1.125.wav,N,cute!
,,,SDRW2100004190.1.1.13.wav,,full_sequence_rejected
515.0,586.0,681.0,SDRW2100004190.1.1.156.wav,J,cute!
736.0,985.0,1028.0,SDRW2100004190.1.1.163.wav,N,cute!
552.0,637.0,734.0,SDRW2100004190.1.1.17.wav,N,cute!
,,,SDRW2100004190.1.1.175.wav,,full_sequence_rejected
491.0,591.0,633.0,SDRW2100004190.1.1.181.wav,N,cute!
509.0,640.0,706.0,SDRW2100004190.1.1.185.wav,N,cute!
533.0,721.0,1293.0,SDRW2100004190.1.1.236.wav,J,cute!
509.0,729.0,842.0,SDRW2100004190.1.1.26.wav,R,cute!
574.0,678.0,741.0,SDRW2100004190.1.1.286.wav,N,cute!
572.0,692.0,720.0,SDRW2100004190.1.1.31.wav,N,cute!
501.0,873.0,943.0,SDRW2100004190.1.1.4.wav,R,cute!
,,,SDRW2100004190.1.1.4.wav,,model_not_consistant
642.0,682.0,723.0,SDRW2100004190.1.1.41.wav,N,cute!
,,,SDRW2100004190.1.1.65.wav,,full_sequence_rejected
576.0,672.0,718.0,SDRW2100004190.1.1.88.wav,N,cute!
337.0,589.0,659.0,SDRW2100004194.1.1.167.wav,N,cute!
564.0,691.0,691.0,SDRW2100004194.1.1.324.wav,,cute!
,,,SDRW2100004197.1.1.213.wav,,full_sequence_rejected
,,,SDRW2100004200.1.1.114.wav,,full_sequence_rejected
635.0,750.0,864.0,SDRW2100004200.1.1.174.wav,R,cute!
,,,SDRW2100004201.1.1.71.wav,,model_not_consistant
502.0,694.0,800.0,SDRW2100004240.1.1.234.wav,R,cute!
178.0,664.0,723.0,SDRW2100004240.1.1.245.wav,R,cute!
,,,SDRW2100004244.1.1.254.wav,,full_sequence_rejected
,,,SDRW2100004246.1.1.106.wav,,full_sequence_rejected
,,,SDRW2100004246.1.1.115.wav,,full_sequence_rejected
571.0,649.0,665.0,SDRW2100004246.1.1.135.wav,N,cute!
1147.0,1380.0,1426.0,SDRW2100004246.1.1.135.wav,N,cute!
,,,SDRW2100004246.1.1.18.wav,,full_sequence_rejected
,,,SDRW2100004246.1.1.187.wav,,full_sequence_rejected
526.0,630.0,664.0,SDRW2100004246.1.1.2.wav,N,cute!
639.0,719.0,765.0,SDRW2100004246.1.1.206.wav,N,cute!
,,,SDRW2100004246.1.1.207.wav,,full_sequence_rejected
,,,SDRW2100004246.1.1.26.wav,,full_sequence_rejected
,,,SDRW2100004246.1.1.51.wav,,full_sequence_rejected
,,,SDRW2100004246.1.1.7.wav,,full_sequence_rejected
,,,SDRW2100004246.1.1.88.wav,,full_sequence_rejected
,,,SDRW2100004246.1.1.91.wav,,full_sequence_rejected
,,,SDRW2100004248.1.1.208.wav,,full_sequence_rejected
594.0,862.0,908.0,SDRW2100004248.1.1.38.wav,N,cute!
546.0,685.0,1283.0,SDRW2100004248.1.1.43.wav,N,cute!
1.0,392.0,392.0,SDRW2100004250.1.1.1.wav,,cute!
,,,SDRW2100004250.1.1.106.wav,,full_sequence_rejected
539.0,582.0,702.0,SDRW2100004250.1.1.237.wav,N,cute!
,,,SDRW2100004250.1.1.240.wav,,model_not_consistant
,,,SDRW2100004250.1.1.301.wav,,full_sequence_rejected
,,,SDRW2100004250.1.1.319.wav,,full_sequence_rejected
,,,SDRW2100004250.1.1.360.wav,,full_sequence_rejected
,,,SDRW2100004250.1.1.374.wav,,full_sequence_rejected
2.0,282.0,292.0,SDRW2100004250.1.1.46.wav,,cute!
146.0,225.0,310.0,SDRW2100004254.1.1.220.wav,N,cute!
205.0,307.0,368.0,SDRW2100004259.1.1.327.wav,N,cute!
,,,SDRW2100004259.1.1.327.wav,,model_not_consistant
563.0,573.0,646.0,SDRW2100004271.1.1.101.wav,N,cute!
0.0,180.0,280.0,SDRW2100004271.1.1.291.wav,N,cute!
536.0,536.0,720.0,SDRW2100004274.1.1.150.wav,G,cute!
550.0,710.0,739.0,SDRW2100004274.1.1.164.wav,N,cute!
663.0,730.0,804.0,SDRW2100004285.1.1.1.wav,N,cute!
554.0,687.0,690.0,SDRW2100004285.1.1.172.wav,,cute!
,,,SDRW2100004285.1.1.225.wav,,model_not_consistant
,,,SDRW2100004285.1.1.33.wav,,full_sequence_rejected
,,,SDRW2100004285.1.1.34.wav,,full_sequence_rejected
