id,sex,age,principal_residence
SD2000001,여성,20대,경기
SD2000002,여성,20대,경기
SD2000003,여성,30대,서울
SD2000004,여성,20대,서울
SD2000005,여성,10대,서울
SD2000006,여성,20대,경기
SD2000007,여성,10대,서울
SD2000006,여성,20대,경기
SD2000008,남성,30대,서울
SD2000009,여성,40대,서울
SD2000010,여성,20대,경기
SD2000011,여성,20대,경기
SD2000012,여성,20대,제주
SD2000013,여성,20대,제주
SD2000014,여성,20대,강원
SD2000015,여성,20대,경기
SD2000016,여성,40대,서울
SD2000017,여성,50대,서울
SD2000018,여성,20대,경북
SD2000017,여성,50대,서울
SD2000019,남성,20대,경기
SD2000020,여성,30대,서울
SD2000021,여성,20대,경기
SD2000022,여성,40대,서울
SD2000023,여성,40대,서울
SD2000024,여성,20대,서울
SD2000025,남성,40대,경기
SD2000026,여성,40대,인천
SD2000027,여성,20대,강원
SD2000028,남성,20대,대전
SD2000027,여성,20대,강원
SD2000028,남성,20대,대전
SD2000029,여성,20대,경기
SD2000030,남성,20대,경기
SD2000029,여성,20대,경기
SD2000031,여성,60대,경기
SD2000032,여성,20대,서울
SD2000033,남성,30대,서울
SD2000034,여성,20대,부산
SD2000035,남성,50대,서울
SD2000036,남성,20대,서울
SD2000037,여성,40대,서울
SD2000036,남성,20대,서울
SD2000037,여성,40대,서울
SD2000038,여성,20대,제주
SD2000039,여성,50대,서울
SD2000038,여성,20대,제주
SD2000039,여성,50대,서울
SD2000040,여성,20대,인천
SD2000041,여성,20대,대전
SD2000040,여성,20대,인천
SD2000041,여성,20대,대전
SD2000042,여성,20대,부산
SD2000043,여성,20대,부산
SD2000042,여성,20대,부산
SD2000043,여성,20대,부산
SD2000044,여성,20대,부산
SD2000045,여성,20대,부산
SD2000044,여성,20대,부산
SD2000045,여성,20대,부산
SD2000046,여성,20대,전남
SD2000047,남성,20대,전남
SD2000046,여성,20대,전남
SD2000048,남성,20대,전남
SD2000049,여성,20대,전북
SD2000050,여성,20대,경북
