,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
5,SDRW2000000046.1.1.434.wav,뉴스,0.0,6080.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2000000046.1.1.434.wav,5.0,271.0,335.0,N,cute!,ㅠ,0.806
15,SDRW2000000275.1.1.107.wav,뉴욕에서,0.0,21120.0,남성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2000000275.1.1.107.wav,791.0,941.0,1045.0,N,cute!,ㅠ,0.591
31,SDRW2000000442.1.1.6.wav,뉴스를,0.0,6400.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2000000442.1.1.6.wav,6.0,154.0,203.0,N,cute!,ㅠ,0.751
107,SDRW2000001454.1.1.243.wav,니트,0.0,6080.0,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2000001454.1.1.243.wav,0.0,204.0,295.0,N,cute!,ㅣ,0.692
109,SDRW2000001513.1.1.136.wav,뉴스에,0.0,8000.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2000001513.1.1.136.wav,4.0,4.0,88.0,N,cute!,ㅠ,0.0
138,SDRW2000001966.1.1.187.wav,뉴욕으로,0.0,10880.0,여성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2000001966.1.1.187.wav,0.0,305.0,321.0,N,cute!,ㅠ,0.95
139,SDRW2000001966.1.1.82.wav,뉴욕에,0.0,6720.0,여성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2000001966.1.1.82.wav,0.0,155.0,180.0,N,cute!,ㅠ,0.861
161,SDRW2100000094.1.1.57.wav,뉴욕,56000.0,65600.0,여성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2100000094.1.1.57.wav,882.0,923.0,946.0,N,cute!,ㅠ,0.641
162,SDRW2100000094.1.1.83.wav,뉴욕에서,0.0,11200.0,여성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2100000094.1.1.83.wav,0.0,426.0,480.0,N,cute!,ㅠ,0.887
166,SDRW2100000134.1.1.116.wav,뉴욕을,0.0,19200.0,남성,20대,경기,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2100000134.1.1.116.wav,148.0,632.0,783.0,N,cute!,ㅠ,0.762
171,SDRW2100000203.1.1.293.wav,니모를,0.0,9920.0,여성,20대,서울,ㄴㅣㅁ,/home/hyohyeongjang/phonology/ni/SDRW2100000203.1.1.293.wav,0.0,297.0,390.0,N,cute!,ㅣ,0.762
172,SDRW2100000209.1.1.250.wav,뉴발란스,3200.0,13440.0,여성,20대,서울,ㄴㅠㅂ,/home/hyohyeongjang/phonology/ni/SDRW2100000209.1.1.250.wav,191.0,335.0,385.0,N,cute!,ㅠ,0.742
181,SDRW2100000395.1.1.97.wav,니트나,0.0,11520.0,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100000395.1.1.97.wav,0.0,218.0,313.0,N,cute!,ㅣ,0.696
182,SDRW2100000424.1.1.200.wav,뉴닉,0.0,11200.0,여성,20대,경기,ㄴㅠㄴ,/home/hyohyeongjang/phonology/ni/SDRW2100000424.1.1.200.wav,20.0,401.0,498.0,N,cute!,ㅠ,0.797
183,SDRW2100000428.1.1.97.wav,니즈도,22720.0,29120.0,남성,20대,서울,ㄴㅣㅈ,/home/hyohyeongjang/phonology/ni/SDRW2100000428.1.1.97.wav,540.0,662.0,780.0,N,cute!,ㅣ,0.508
184,SDRW2100000442.1.1.262.wav,뉴질랜드였나,5760.0,21120.0,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2100000442.1.1.262.wav,433.0,570.0,655.0,N,cute!,ㅠ,0.617
193,SDRW2100000495.1.1.164.wav,뉴스를,27200.0,34560.0,남성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100000495.1.1.164.wav,511.0,697.0,749.0,N,cute!,ㅠ,0.782
199,SDRW2100000658.1.1.316.wav,뉴욕,6080.0,12800.0,남성,20대,경기,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2100000658.1.1.316.wav,385.0,615.0,687.0,N,cute!,ㅠ,0.762
207,SDRW2100000781.1.1.1.wav,뉴스를,10880.0,20480.0,남성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100000781.1.1.1.wav,485.0,771.0,837.0,N,cute!,ㅠ,0.812
353,SDRW2100001602.1.1.173.wav,니즈에,19520.0,24960.0,남성,20대,경기,ㄴㅣㅈ,/home/hyohyeongjang/phonology/ni/SDRW2100001602.1.1.173.wav,505.0,582.0,693.0,N,cute!,ㅣ,0.41
551,SDRW2100003435.1.1.203.wav,뉴스,21760.0,24960.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003435.1.1.203.wav,581.0,603.0,688.0,N,cute!,ㅠ,0.206
552,SDRW2100003437.1.1.3.wav,뉴스가,40000.0,47360.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003437.1.1.3.wav,561.0,660.0,733.0,N,cute!,ㅠ,0.576
553,SDRW2100003437.1.1.81.wav,뉴스에서,34880.0,43840.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003437.1.1.81.wav,580.0,627.0,708.0,N,cute!,ㅠ,0.367
626,SDRW2100003812.1.1.112.wav,뉴스,3520.0,8960.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003812.1.1.112.wav,192.0,477.0,527.0,N,cute!,ㅠ,0.851
