,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
37,SDRW2000000240.1.1.197.wav,리뷰해주는,25920.0,39680.0,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000240.1.1.197.wav,539.0,671.0,750.0,L,cute!,ㅣ,0.626
60,SDRW2000000430.1.1.75.wav,리치라는,11200.0,25280.0,여성,20대,경기,ㄹㅣㅊ,/home/hyohyeongjang/phonology/ri/SDRW2000000430.1.1.75.wav,693.0,738.0,817.0,L,cute!,ㅣ,0.363
120,SDRW2000001405.1.1.171.wav,리그를,4160.0,10880.0,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000001405.1.1.171.wav,360.0,462.0,540.0,M,cute!,ㅣ,0.567
136,SDRW2000001529.1.1.327.wav,리키가,0.0,11200.0,여성,20대,서울,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2000001529.1.1.327.wav,384.0,561.0,612.0,Kh,cute!,ㅣ,0.776
143,SDRW2000001623.1.1.145.wav,리그,14720.0,23040.0,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000001623.1.1.145.wav,441.0,559.0,982.0,EU,cute!,ㅣ,0.218
170,SDRW2000001902.1.1.410.wav,리더가,3840.0,9920.0,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000001902.1.1.410.wav,239.0,370.0,469.0,M,cute!,ㅣ,0.57
234,SDRW2100000143.1.1.166.wav,리드미컬한,13440.0,28160.0,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100000143.1.1.166.wav,541.0,564.0,739.0,L,cute!,ㅣ,0.116
236,SDRW2100000158.1.1.257.wav,리모델링을,18560.0,34240.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000158.1.1.257.wav,484.0,1024.0,1086.0,M,cute!,ㅣ,0.897
323,SDRW2100000599.1.1.91.wav,리정이라는,9280.0,16960.0,여성,20대,경기,ㄹㅣㅈ,/home/hyohyeongjang/phonology/ri/SDRW2100000599.1.1.91.wav,335.0,348.0,632.0,U,cute!,ㅣ,0.044
510,SDRW2100001601.1.1.347.wav,리메이크해서,8000.0,16640.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001601.1.1.347.wav,429.0,489.0,622.0,L,cute!,ㅣ,0.311
514,SDRW2100001649.1.1.204.wav,리메이크해서,39360.0,49600.0,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001649.1.1.204.wav,478.0,568.0,644.0,L,cute!,ㅣ,0.542
533,SDRW2100001787.1.1.136.wav,리뷰를,34240.0,39360.0,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001787.1.1.136.wav,480.0,584.0,682.0,L,cute!,ㅣ,0.515
742,SDRW2100003995.1.1.97.wav,리메이크,39680.0,51840.0,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003995.1.1.97.wav,603.0,846.0,951.0,L,cute!,ㅣ,0.698
813,SDRW2200000076.1.1.98.wav,리뷰해주는,9600.0,21120.0,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000076.1.1.98.wav,679.0,702.0,794.0,L,cute!,ㅣ,0.2
856,SDRW2200000232.1.1.195.wav,리더기를,15360.0,22080.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000232.1.1.195.wav,471.0,480.0,692.0,EU,cute!,ㅣ,0.041
894,SDRW2200000352.1.1.59.wav,리그에서,16640.0,24000.0,남성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000352.1.1.59.wav,364.0,431.0,1267.0,Th,cute!,ㅣ,0.074
940,SDRW2200000546.1.1.129.wav,리그를,13120.0,19520.0,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000546.1.1.129.wav,0.0,70.0,744.0,M,cute!,ㅣ,0.094
941,SDRW2200000546.1.1.154.wav,리그를,9280.0,13760.0,남성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000546.1.1.154.wav,531.0,595.0,676.0,L,cute!,ㅣ,0.441
1064,SDRW2200000998.1.1.224.wav,리듬이랑,38720.0,49920.0,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000998.1.1.224.wav,510.0,645.0,877.0,M,cute!,ㅣ,0.368
