,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
5,SDRW2000000057.1.1.309.wav,리더여도,11840.0,20800.0,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000000057.1.1.309.wav,383.0,663.0,755.0,R,cute!,ㅣ,0.753
6,SDRW2000000061.1.1.43.wav,리그를,13440.0,18560.0,남성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000000061.1.1.43.wav,478.0,652.0,681.0,R,cute!,ㅣ,0.857
9,SDRW2000000068.1.1.168.wav,리더는,0.0,17280.0,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000000068.1.1.168.wav,694.0,785.0,890.0,R,cute!,ㅣ,0.464
35,SDRW2000000237.1.1.102.wav,리스트에,34240.0,49280.0,남성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2000000237.1.1.102.wav,876.0,1076.0,1182.0,R,cute!,ㅣ,0.654
38,SDRW2000000241.1.1.146.wav,리버풀,17600.0,23360.0,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000241.1.1.146.wav,433.0,516.0,561.0,R,cute!,ㅣ,0.648
39,SDRW2000000241.1.1.154.wav,리버풀,18240.0,24960.0,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000241.1.1.154.wav,358.0,619.0,667.0,R,cute!,ㅣ,0.845
41,SDRW2000000241.1.1.83.wav,리그,0.0,7680.0,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000000241.1.1.83.wav,4.0,285.0,369.0,R,cute!,ㅣ,0.77
49,SDRW2000000303.1.1.442.wav,리치,6400.0,12480.0,남성,20대,서울,ㄹㅣㅊ,/home/hyohyeongjang/phonology/ri/SDRW2000000303.1.1.442.wav,0.0,653.0,759.0,R,cute!,ㅣ,0.86
133,SDRW2000001529.1.1.178.wav,리키를,0.0,9920.0,여성,20대,서울,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2000001529.1.1.178.wav,0.0,211.0,221.0,R,cute!,ㅣ,0.955
134,SDRW2000001529.1.1.29.wav,리키라는,12480.0,23040.0,여성,20대,서울,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2000001529.1.1.29.wav,552.0,742.0,767.0,R,cute!,ㅣ,0.884
