,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
1201,SDRW2200002527.1.1.420.wav,녀석들을,녀석,25280,32960,남성,20대,경기,ㄴㅕㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200002527.1.1.420.wav,519,618,681,N,cute!,ㅕ,0.611
1027,SDRW2200000835.1.1.282.wav,녀석이,녀석,29440,38080,여성,20대,경기,ㄴㅕㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000835.1.1.282.wav,546,626,697,N,cute!,ㅕ,0.53
182,SDRW2100000424.1.1.200.wav,뉴닉,뉴닉,0,11200,여성,20대,경기,ㄴㅠㄴ,/home/hyohyeongjang/phonology/ni/SDRW2100000424.1.1.200.wav,20,401,498,N,cute!,ㅠ,0.797
172,SDRW2100000209.1.1.250.wav,뉴발란스,뉴발란스,3200,13440,여성,20대,서울,ㄴㅠㅂ,/home/hyohyeongjang/phonology/ni/SDRW2100000209.1.1.250.wav,191,335,385,N,cute!,ㅠ,0.742
5,SDRW2000000046.1.1.434.wav,뉴스,뉴스,0,6080,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2000000046.1.1.434.wav,5,271,335,N,cute!,ㅠ,0.806
551,SDRW2100003435.1.1.203.wav,뉴스,뉴스,21760,24960,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003435.1.1.203.wav,581,603,688,N,cute!,ㅠ,0.206
626,SDRW2100003812.1.1.112.wav,뉴스,뉴스,3520,8960,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003812.1.1.112.wav,192,477,527,N,cute!,ㅠ,0.851
656,SDRW2100003842.1.1.200.wav,뉴스,뉴스,18560,24320,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.200.wav,532,821,839,N,cute!,ㅠ,0.941
700,SDRW2100003892.1.1.257.wav,뉴스,뉴스,4480,8960,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003892.1.1.257.wav,398,559,611,N,cute!,ㅠ,0.756
715,SDRW2100004000.1.1.54.wav,뉴스,뉴스,7360,13760,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.54.wav,579,826,874,N,cute!,ㅠ,0.837
716,SDRW2100004000.1.1.60.wav,뉴스,뉴스,0,5120,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.60.wav,0,272,307,N,cute!,ㅠ,0.886
803,SDRW2100004156.1.1.153.wav,뉴스,뉴스,8320,11200,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.153.wav,475,615,674,N,cute!,ㅠ,0.704
933,SDRW2200000001.1.1.81.wav,뉴스,뉴스,17280,26880,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000001.1.1.81.wav,623,1009,1061,N,cute!,ㅠ,0.881
934,SDRW2200000001.1.1.82.wav,뉴스,뉴스,0,2560,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000001.1.1.82.wav,3,8,138,N,cute!,ㅠ,0.037
947,SDRW2200000116.1.1.76.wav,뉴스,뉴스,6080,11520,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000116.1.1.76.wav,274,531,532,N,cute!,ㅠ,0.996
552,SDRW2100003437.1.1.3.wav,뉴스가,뉴스,40000,47360,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003437.1.1.3.wav,561,660,733,N,cute!,ㅠ,0.576
645,SDRW2100003834.1.1.161.wav,뉴스가,뉴스,67200,72320,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.161.wav,592,613,613,N,cute!,ㅠ,1
647,SDRW2100003834.1.1.181.wav,뉴스가,뉴스,42240,55040,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.181.wav,499,832,897,N,cute!,ㅠ,0.837
653,SDRW2100003834.1.1.76.wav,뉴스가,뉴스,20800,28480,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.76.wav,560,642,694,N,cute!,ㅠ,0.612
668,SDRW2100003842.1.1.8.wav,뉴스가,뉴스,19840,31360,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.8.wav,631,723,779,N,cute!,ㅠ,0.622
804,SDRW2100004156.1.1.21.wav,뉴스고,뉴스,30080,37120,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.21.wav,484,583,635,N,cute!,ㅠ,0.656
649,SDRW2100003834.1.1.73.wav,뉴스나,뉴스,0,12800,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.73.wav,0,84,157,N,cute!,ㅠ,0.535
651,SDRW2100003834.1.1.73.wav,뉴스나,뉴스,0,12800,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.73.wav,711,838,903,N,cute!,ㅠ,0.661
978,SDRW2200000320.1.1.79.wav,뉴스나,뉴스,16000,31680,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000320.1.1.79.wav,683,1062,1096,N,cute!,ㅠ,0.918
643,SDRW2100003834.1.1.148.wav,뉴스는,뉴스,25600,33920,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.148.wav,553,623,670,N,cute!,ㅠ,0.598
664,SDRW2100003842.1.1.356.wav,뉴스도,뉴스,11840,20800,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.356.wav,480,680,750,N,cute!,ㅠ,0.741
808,SDRW2100004156.1.1.99.wav,뉴스든,뉴스,8640,15040,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.99.wav,553,633,642,N,cute!,ㅠ,0.899
718,SDRW2100004000.1.1.9.wav,뉴스들,뉴스,0,9920,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.9.wav,0,210,241,N,cute!,ㅠ,0.871
774,SDRW2100004149.1.1.275.wav,뉴스라,뉴스,5120,12160,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.275.wav,429,471,504,N,cute!,ㅠ,0.56
776,SDRW2100004149.1.1.275.wav,뉴스라,뉴스,5120,12160,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.275.wav,570,615,612,N,cute!,ㅠ,1.071
780,SDRW2100004149.1.1.40.wav,뉴스라고,뉴스,19200,31680,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.40.wav,577,672,718,N,cute!,ㅠ,0.674
775,SDRW2100004149.1.1.275.wav,뉴스라는,뉴스,28160,33600,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.275.wav,429,471,504,N,cute!,ㅠ,0.56
777,SDRW2100004149.1.1.275.wav,뉴스라는,뉴스,28160,33600,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.275.wav,570,615,612,N,cute!,ㅠ,1.071
670,SDRW2100003846.1.1.238.wav,뉴스로,뉴스,4480,9600,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003846.1.1.238.wav,359,360,419,N,cute!,ㅠ,0.017
671,SDRW2100003846.1.1.89.wav,뉴스로,뉴스,11520,19200,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003846.1.1.89.wav,471,641,679,N,cute!,ㅠ,0.817
714,SDRW2100004000.1.1.168.wav,뉴스로,뉴스,9600,17280,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.168.wav,595,616,738,N,cute!,ㅠ,0.147
717,SDRW2100004000.1.1.61.wav,뉴스로,뉴스,16640,24640,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.61.wav,591,694,784,N,cute!,ㅠ,0.534
