,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
237,SDRW2100000173.1.1.164.wav,리뷰,리뷰,12800,19840,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000173.1.1.164.wav,595,596,853,N,cute!,ㅣ,0.004
517,SDRW2100001678.1.1.352.wav,리모컨의,리모컨,0,11200,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001678.1.1.352.wav,6,97,255,N,cute!,ㅣ,0.365
518,SDRW2100001692.1.1.130.wav,리춘,리춘,12160,34240,남성,20대,경기,ㄹㅣㅊ,/home/hyohyeongjang/phonology/ri/SDRW2100001692.1.1.130.wav,914,1597,1706,N,cute!,ㅣ,0.862
522,SDRW2100001751.1.1.464.wav,리그,리그,12800,17280,남성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2100001751.1.1.464.wav,643,647,741,N,cute!,ㅣ,0.041
557,SDRW2100001965.1.1.301.wav,리메이크도,리메이크,9920,23040,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001965.1.1.301.wav,620,696,775,N,cute!,ㅣ,0.49
814,SDRW2200000077.1.1.80.wav,리듬타라는,리듬,0,12160,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000077.1.1.80.wav,0,150,265,N,cute!,ㅣ,0.566
855,SDRW2200000232.1.1.183.wav,리더,리더,14720,19520,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000232.1.1.183.wav,483,546,722,N,cute!,ㅣ,0.264
998,SDRW2200000700.1.1.143.wav,리그에서,리그,5760,16000,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000700.1.1.143.wav,502,593,749,N,cute!,ㅣ,0.368
1035,SDRW2200000860.1.1.207.wav,리스트를,리스트,7040,35520,여성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2200000860.1.1.207.wav,1330,1453,1541,N,cute!,ㅣ,0.583
1066,SDRW2200000998.1.1.82.wav,리코더,리코더,8320,16640,남성,20대,서울,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2200000998.1.1.82.wav,458,728,799,N,cute!,ㅣ,0.792
1091,SDRW2200001165.1.1.370.wav,리무진은,리무진,11840,24640,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2200001165.1.1.370.wav,547,600,633,N,cute!,ㅣ,0.616
1366,SDRW2200002721.1.1.39.wav,리스,리스트,16640,21760,여성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2200002721.1.1.39.wav,443,727,804,N,cute!,ㅣ,0.787
