,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
143,SDRW2000001623.1.1.145.wav,리그,리그,14720,23040,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000001623.1.1.145.wav,441,559,982,EU,cute!,ㅣ,0.218
120,SDRW2000001405.1.1.171.wav,리그를,리그,4160,10880,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000001405.1.1.171.wav,360,462,540,M,cute!,ㅣ,0.567
940,SDRW2200000546.1.1.129.wav,리그를,리그,13120,19520,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000546.1.1.129.wav,0,70,744,M,cute!,ㅣ,0.094
941,SDRW2200000546.1.1.154.wav,리그를,리그,9280,13760,남성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000546.1.1.154.wav,531,595,676,L,cute!,ㅣ,0.441
894,SDRW2200000352.1.1.59.wav,리그에서,리그,16640,24000,남성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000352.1.1.59.wav,364,431,1267,Th,cute!,ㅣ,0.074
170,SDRW2000001902.1.1.410.wav,리더가,리더,3840,9920,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000001902.1.1.410.wav,239,370,469,M,cute!,ㅣ,0.57
856,SDRW2200000232.1.1.195.wav,리더기를,리더,15360,22080,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000232.1.1.195.wav,471,480,692,EU,cute!,ㅣ,0.041
1335,SDRW2200002510.1.1.128.wav,리더라서,리더,25600,32640,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200002510.1.1.128.wav,498,512,693,I,cute!,ㅣ,0.072
234,SDRW2100000143.1.1.166.wav,리드미컬한,리드미컬,13440,28160,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100000143.1.1.166.wav,541,564,739,L,cute!,ㅣ,0.116
1064,SDRW2200000998.1.1.224.wav,리듬이랑,리듬,38720,49920,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000998.1.1.224.wav,510,645,877,M,cute!,ㅣ,0.368
742,SDRW2100003995.1.1.97.wav,리메이크,리메이크,39680,51840,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003995.1.1.97.wav,603,846,951,L,cute!,ㅣ,0.698
510,SDRW2100001601.1.1.347.wav,리메이크해서,리메이크,8000,16640,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001601.1.1.347.wav,429,489,622,L,cute!,ㅣ,0.311
514,SDRW2100001649.1.1.204.wav,리메이크해서,리메이크,39360,49600,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001649.1.1.204.wav,478,568,644,L,cute!,ㅣ,0.542
236,SDRW2100000158.1.1.257.wav,리모델링을,리모델링,18560,34240,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000158.1.1.257.wav,484,1024,1086,M,cute!,ㅣ,0.897
1352,SDRW2200002608.1.1.196.wav,리뷰,리뷰,17920,24320,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200002608.1.1.196.wav,505,525,328,L,cute!,ㅣ,-0.113
533,SDRW2100001787.1.1.136.wav,리뷰를,리뷰,34240,39360,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001787.1.1.136.wav,480,584,682,L,cute!,ㅣ,0.515
37,SDRW2000000240.1.1.197.wav,리뷰해주는,리뷰,25920,39680,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000240.1.1.197.wav,539,671,750,L,cute!,ㅣ,0.626
813,SDRW2200000076.1.1.98.wav,리뷰해주는,리뷰,9600,21120,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000076.1.1.98.wav,679,702,794,L,cute!,ㅣ,0.2
1358,SDRW2200002649.1.1.44.wav,리산가,리사,11200,19840,여성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2200002649.1.1.44.wav,514,623,765,D,cute!,ㅣ,0.434
1333,SDRW2200002505.1.1.343.wav,리스트가,리스트,23360,32320,여성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2200002505.1.1.343.wav,313,723,757,M,cute!,ㅣ,0.923
323,SDRW2100000599.1.1.91.wav,리정이라는,리정,9280,16960,여성,20대,경기,ㄹㅣㅈ,/home/hyohyeongjang/phonology/ri/SDRW2100000599.1.1.91.wav,335,348,632,U,cute!,ㅣ,0.044
60,SDRW2000000430.1.1.75.wav,리치라는,리치,11200,25280,여성,20대,경기,ㄹㅣㅊ,/home/hyohyeongjang/phonology/ri/SDRW2000000430.1.1.75.wav,693,738,817,L,cute!,ㅣ,0.363
136,SDRW2000001529.1.1.327.wav,리키가,리키,0,11200,여성,20대,서울,ㄹㅣㅋ,/home/hyohyeongjang/phonology/ri/SDRW2000001529.1.1.327.wav,384,561,612,Kh,cute!,ㅣ,0.776
