,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
1006,SDRW2200000717.1.1.165.wav,료칸,료칸,10240,17920,여성,20대,경기,ㄹㅛㅋ,/home/hyohyeongjang/phonology/ri/SDRW2200000717.1.1.165.wav,534,752,814,R,cute!,ㅛ,0.779
849,SDRW2200000221.1.1.157.wav,료칸을,료칸,36160,47360,여성,20대,경기,ㄹㅛㅋ,/home/hyohyeongjang/phonology/ri/SDRW2200000221.1.1.157.wav,449,695,809,R,cute!,ㅛ,0.683
272,SDRW2100000425.1.1.132.wav,류수정,류수정,0,17280,여성,20대,서울,ㄹㅠㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000425.1.1.132.wav,1,712,816,R,cute!,ㅠ,0.872
271,SDRW2100000425.1.1.120.wav,류수정인가,류수정,23360,42240,여성,20대,경기,ㄹㅠㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000425.1.1.120.wav,333,848,924,R,cute!,ㅠ,0.871
892,SDRW2200000351.1.1.38.wav,류크같이,류크,9920,20800,남성,20대,경기,ㄹㅠㅋ,/home/hyohyeongjang/phonology/ri/SDRW2200000351.1.1.38.wav,441,678,745,R,cute!,ㅠ,0.78
183,SDRW2000002058.1.1.401.wav,리가,리가,15360,18240,여성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000002058.1.1.401.wav,77,591,665,R,cute!,ㅣ,0.874
254,SDRW2100000299.1.1.74.wav,리가,리가,42240,44480,여성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2100000299.1.1.74.wav,507,503,68,R,cute!,ㅣ,0.009
262,SDRW2100000366.1.1.42.wav,리가,리가,36480,39360,여성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2100000366.1.1.42.wav,566,639,684,R,cute!,ㅣ,0.619
806,SDRW2200000052.1.1.57.wav,리가,리가,56960,59520,여성,20대,경기,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000052.1.1.57.wav,544,605,645,R,cute!,ㅣ,0.604
41,SDRW2000000241.1.1.83.wav,리그,리그,0,7680,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000000241.1.1.83.wav,4,285,369,R,cute!,ㅣ,0.77
910,SDRW2200000427.1.1.138.wav,리그,리그,6080,14080,남성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2200000427.1.1.138.wav,251,624,694,R,cute!,ㅣ,0.842
